mapping_id,labor_code,material_code,material_description,material_unit,calculation_type,multiplier,waste_factor,source,effective_date,expiration_date,active,supersedes_mapping_id,status,confidence,notes,held_back_reason
MAP-000002,AFO.BANDING,114-201-SSB-100,"Pole bands 1"" 1/4""",FT,PER_UNIT,0.014,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Labor code ""AFO.BANDING"" is not a pay unit in the rate sheet - reconcile the naming first. Fractional ratio - this item is not driven by this unit's quantity. Find the true driver (pole count, span count, structure count) before approving. Observed in project A only (0.01402).","Pay unit AFO.BANDING does not exist in the rate sheet, so there is no priced unit to map material to. This is one of the seven billing gaps (open item 11), not a mapping defect."
MAP-000003,AFO.BANDING,25856182,1.25 BANDING BOLT/CLAMP,EA,PER_UNIT,1,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Labor code ""AFO.BANDING"" is not a pay unit in the rate sheet - reconcile the naming first. BASELINE: ratio rounds to a whole 1 per unit. Observed in project A only (1).","Pay unit AFO.BANDING does not exist in the rate sheet, so there is no priced unit to map material to. This is one of the seven billing gaps (open item 11), not a mapping defect."
MAP-000004,AFO.BANDING,26702933,"MICKEY MOUSE MOUNTING BOLT, HEAVY DUTY",EA,PER_UNIT,0.7056,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Labor code ""AFO.BANDING"" is not a pay unit in the rate sheet - reconcile the naming first. Fractional ratio - this item is not driven by this unit's quantity. Find the true driver (pole count, span count, structure count) before approving. Observed in project A only (0.7056).","Pay unit AFO.BANDING does not exist in the rate sheet, so there is no priced unit to map material to. This is one of the seven billing gaps (open item 11), not a mapping defect."
MAP-000005,AFO.BANDING,26702934,1-1/4 STAINLESS STEEL BANDING,EA,PER_UNIT,0.4953,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Labor code ""AFO.BANDING"" is not a pay unit in the rate sheet - reconcile the naming first. Fractional ratio - this item is not driven by this unit's quantity. Find the true driver (pole count, span count, structure count) before approving. Observed in project A only (0.4953).","Pay unit AFO.BANDING does not exist in the rate sheet, so there is no priced unit to map material to. This is one of the seven billing gaps (open item 11), not a mapping defect."
MAP-000060,BDO(M),26583056,12X14X41 PEDESTAL VENT,EA,PER_UNIT,1,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Labor code ""BDO(M)"" is not a pay unit in the rate sheet - reconcile the naming first. BASELINE: ratio rounds to a whole 1 per unit. Observed in project A only (1).","Pay unit BDO(M) does not exist in the rate sheet, so there is no priced unit to map material to. This is one of the seven billing gaps (open item 11), not a mapping defect."
MAP-000071,BFO.96.I,27010569,PRYSMIAN 96 RIBBON FIBER ARMORED,FT,PER_UNIT,1.0,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,REEL-SOURCED,"Labor code ""BFO.96.I"" is not a pay unit in the rate sheet - reconcile the naming first. Fiber cable SKU varies by project - it is a property of the reel, not of the pay unit. Take it from the linked Fiber Reel record. Observed ratio 1.0. Observed in project A only (1).","Pay unit BFO.96.I does not exist in the rate sheet, so there is no priced unit to map material to. This is one of the seven billing gaps (open item 11), not a mapping defect."
MAP-000072,BFO.96.IE,27010569,PRYSMIAN 96 RIBBON FIBER ARMORED,FT,PER_UNIT,1.0,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,REEL-SOURCED,"Labor code ""BFO.96.IE"" is not a pay unit in the rate sheet - reconcile the naming first. Fiber cable SKU varies by project - it is a property of the reel, not of the pay unit. Take it from the linked Fiber Reel record. Observed ratio 1.0. Observed in project A only (1).","Pay unit BFO.96.IE does not exist in the rate sheet, so there is no priced unit to map material to. This is one of the seven billing gaps (open item 11), not a mapping defect."
MAP-000090,BM60 (4)DP SDR11 RR,#RM-4-11-O-750,"4"" SDR 11 ORANGE (750') CONDUIT",FT,PER_UNIT,1,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Labor code ""BM60 (4)DP SDR11 RR"" is not a pay unit in the rate sheet - reconcile the naming first. BASELINE: ratio rounds to a whole 1 per unit. Observed in project A only (1). Multiplier is in consumption units; this SKU is a pack of 750, so divide by 750 to purchase.","Pay unit BM60 (4)DP SDR11 RR does not exist in the rate sheet, so there is no priced unit to map material to. This is one of the seven billing gaps (open item 11), not a mapping defect."
MAP-000091,BM60 (4)DP SDR11 RR,MXE86383GR500,"MAXCELL 4"" 3 CELL",FT,PER_UNIT,1.038,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Labor code ""BM60 (4)DP SDR11 RR"" is not a pay unit in the rate sheet - reconcile the naming first. Fractional ratio - this item is not driven by this unit's quantity. Find the true driver (pole count, span count, structure count) before approving. Observed in project A only (1.038).","Pay unit BM60 (4)DP SDR11 RR does not exist in the rate sheet, so there is no priced unit to map material to. This is one of the seven billing gaps (open item 11), not a mapping defect."
MAP-000135,HO1-12R,26471585,PROTECTION SLEEVE ROLLABLE RIBBON 25PK,EA,PER_UNIT,1.0,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,REEL-SOURCED,"Labor code ""HO1-12R"" is not a pay unit in the rate sheet - reconcile the naming first. Fiber cable SKU varies by project - it is a property of the reel, not of the pay unit. Take it from the linked Fiber Reel record. Observed ratio 1.0. Observed in project A only (1). Multiplier is in consumption units; this SKU is a pack of 25, so divide by 25 to purchase.","Pay unit HO1-12R does not exist in the rate sheet, so there is no priced unit to map material to. This is one of the seven billing gaps (open item 11), not a mapping defect."
