rate_id,contractor_id_snap,contractor_name_snap,project_id_snap,project_name_snap,labor_code,labor_description,unit,unit_rate,effective_date,expiration_date,active,supersedes_rate_id,status,notes
RATE-000001,CON-0001,River City Communications,,,AFO,Placing self-support fiber (ADSS) Aerial on Distribution Wood and Steel Poles. *,FT,1.85,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000002,CON-0001,River City Communications,,,AFO.B,Placing self-support fiber (ADSS) Aerial on Distribution Wood and Steel Poles attaching hardware by banding to pole. *,FT,1.95,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000003,CON-0001,River City Communications,,,AFO.T,Placing self-support fiber (ADSS) Aerial on Transmission Wood & Steel Structures. *,FT,1.85,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000004,CON-0001,River City Communications,,,AFO.TC,Placing self-support fiber (ADSS) Aerial on Transmission Concrete Structures. Poles will require banding. *,FT,1.95,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000005,CON-0001,River City Communications,,,AFO.RTD,Placing MST/RTD Aerial Fiber* Pricing is actual tail footage installed from recorded tic marks and includes mounting for anything over 1500ft MST/RTD.,FT,1.25,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000006,CON-0001,River City Communications,,,AFO.RESAG,Resag Fiber Per Span (Prior Approval Required),EA,65,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000007,CON-0001,River City Communications,,,AFO.S,install Slack Coils or Snowshoes,EA,75,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000008,CON-0001,River City Communications,,,AFO.CO ML,Install Slack Coil/Snowshoe Fiber and Mount Splice Enclosures.,EA,100,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000009,CON-0001,River City Communications,,,AFO.TRAN1,Pole Transfers (Moving Existing Fiber from Pole to Pole),EA,125,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000010,CON-0001,River City Communications,,,AFO.TRAN2,Pole Transfers (Moving Existing Fiber up or down the same pole),EA,55,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
