mapping_id,labor_code,material_code,material_description,material_unit,calculation_type,multiplier,waste_factor,source,effective_date,expiration_date,active,supersedes_mapping_id,status,confidence,notes
MAP-000001,AFO SL Strand,26411077,"1/4"" EHS STRAND 5000FT REEL",FT,PER_UNIT,1,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,APPROVED,SINGLE SOURCE,"BASELINE: ratio rounds to a whole 1 per unit. Source label ""AFO.SL STRAND"" mapped to pay unit ""AFO SL Strand"". Observed in project A only (1). Multiplier is in consumption units; this SKU is a pack of 5000, so divide by 5000 to purchase."
MAP-000006,AFO.BOND,17651382,#4 SPLIT BOLT CONNECTOR,EA,PER_UNIT,1.0,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,APPROVED,CONFIRMED,"Ratio independently observed in both projects: A=1, B=1"
MAP-000007,AFO.BOND,25370668,WEAVER CONNECTOR,EA,PER_UNIT,1.0,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,APPROVED,CONFIRMED,"Ratio independently observed in both projects: A=1, B=1"
MAP-000008,AFO.BOND,72600601,"Wire, #6, Solid copper clad",FT,PER_UNIT,2.1739,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Fractional ratio - this item is not driven by this unit's quantity. Find the true driver (pole count, span count, structure count) before approving. Observed in project A only (2.174). Project B placed AFO.BOND without it, so it is situational rather than always consumed."
MAP-000009,AFO.GAA,26411077,"1/4"" EHS STRAND 5000FT REEL",FT,PER_UNIT,30.0,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,APPROVED,CONFIRMED,"Ratio independently observed in both projects: A=30, B=30 Multiplier is in consumption units; this SKU is a pack of 5000, so divide by 5000 to purchase."
MAP-000010,AFO.GAA,GDE1104,"Guy grips (Preform), 1/4"" / YELLOW",EA,PER_UNIT,2.0,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,APPROVED,CONFIRMED,"Ratio independently observed in both projects: A=2, B=2"
MAP-000011,AFO.GAA,J-6526,"6"" HELIX SCREW ANCHOR",EA,PER_UNIT,1.0,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,APPROVED,CONFIRMED,"Ratio independently observed in both projects: A=1, B=1"
MAP-000012,AFO.GAA,J25164,"Spring washer, Guy attach strap pig ears",EA,PER_UNIT,1.0,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,APPROVED,CONFIRMED,"Ratio independently observed in both projects: A=1, B=1"
MAP-000013,AFO.GG,29300555,GUY GUARD,EA,PER_UNIT,1.0,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,APPROVED,CONFIRMED,"Ratio independently observed in both projects: A=1, B=1"
MAP-000014,AFO.OLASH,99431488,.045 LASH WIRE 430-TYPE 1200FT COIL,FT,PER_UNIT,1,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,APPROVED,SINGLE SOURCE,"BASELINE: ratio rounds to a whole 1 per unit. Observed in project A only (1). Multiplier is in consumption units; this SKU is a pack of 1200, so divide by 1200 to purchase."
MAP-000015,AFO.RTD,26653057,8 PORT HST 350 FT TONEABLE STUB,EA,PER_UNIT,0.0,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Fractional ratio - this item is not driven by this unit's quantity. Find the true driver (pole count, span count, structure count) before approving. Source label ""RTD"" mapped to pay unit ""AFO.RTD"". Observed in project A only (3.526e-05)."
MAP-000016,AFO.RTD,26653058,8 PORT HST 500 FT TONEABLE STUB,EA,PER_UNIT,0.0,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Fractional ratio - this item is not driven by this unit's quantity. Find the true driver (pole count, span count, structure count) before approving. Source label ""RTD"" mapped to pay unit ""AFO.RTD"". Observed in project A only (3.526e-05)."
MAP-000017,AFO.RTD,26653059,8 PORT HST 750 FT TONEABLE STUB,EA,PER_UNIT,0.0,,OBSERVED_CONSUMPTION,2026-01-01,,yes,,NEEDS REVIEW,SINGLE SOURCE,"Fractional ratio - this item is not driven by this unit's quantity. Find the true driver (pole count, span count, structure count) before approving. Source label ""RTD"" mapped to pay unit ""AFO.RTD"". Observed in project A only (3.526e-05)."
