material_code,description,category,unit,pack_size,manufacturer,part_number,conduit_diameter,pull_count,standard_cost,active,notes
#RM-4-11-O-750,"4"" SDR 11 ORANGE (750') CONDUIT",Conduit,FT,750,,#RM-4-11-O-750,4,1,,yes,
000-00372,E7-2 FIELD INSTALL PACKAGE (CO & ODC/RT),Splitter-MST,EA,,,000-00372,,,,yes,
00061102,"PVC, Plastic stick pipe, 2""",Conduit,FT,,,00061102,,,,yes,
00061103,"PVC, Plastic stick pipe, 3""",Conduit,FT,,,00061103,,,,yes,
06380516,"Bolt, Machine 5/8"" X 16""",Aerial Hardware,EA,,,06380516,,,,yes,
068765,"2"", 90 Degree long PVC",Conduit,EA,,,068765,,,,yes,
068767,"3"", 90 Degree long PVC",Conduit,EA,,,068767,,,,yes,
078067,"3"" Conduit coupling long",Conduit,FT,,,078067,,,,yes,
1-400874,TONE TAPE W/ TRACER 3000FT,Marker,FT,3000,,1-400874,,,,yes,
100-05729,OIM 10G PON XGS,Splitter-MST,EA,,,100-05729,,,,yes,
100-05770,E7-2 XG1601 XGS-PON,Splitter-MST,EA,,,100-05770,,,,yes,
114-11-2,"2-PULL 1.25"" CONDUIT, ORANGE 8000FT",Conduit,FT,8000,,114-11-2,1.25,2,,yes,
114-11-3-OGB-T-,"3-PULL 1.25"" CONDUIT, OGB 7500FT",Conduit,FT,7500,,114-11-3-OGB-T-,1.25,3,,yes,
114-11-O-8000,"1-PULL 1.25"" CONDUIT, ORANGE 8000FT",Conduit,FT,8000,,114-11-O-8000,1.25,1,,yes,
114-201-SSB-100,"Pole bands 1"" 1/4""",Aerial Hardware,FT,,,114-201-SSB-100,,,,yes,
144 CT PRYSMIAN,144 CT PRYSMIAN,Fiber Cable,FT,,,144 CT PRYSMIAN,,,,yes,
1700C-BLUE,1700C-BLUE 3M 3/4X66' CODING TAPE 06485,Marker,FT,66,,1700C-BLUE,,,,yes,
1700C-GREEN,1700C-Green 3M 3/4X66' Coding tape 06553,Marker,FT,66,,1700C-GREEN,,,,yes,
1700C-ORG,1700C-Orange 3/4X66' Coding tape 06522,Marker,FT,66,,1700C-ORG,,,,yes,
17310010,"Connector, Clamp-ground rod #G",Grounding,EA,,,17310010,,,,yes,
17651382,#4 SPLIT BOLT CONNECTOR,Aerial Hardware,EA,,,17651382,,,,yes,
20005096,Coupler 1.25,Conduit,EA,,,20005096,,,,yes,
25090921,CAT 6 wire outside plant cable 1000ft,Fiber Cable,FT,1000,,25090921,,,,yes,
25196866,9.5 in X 28 Coyote Dome,Splice,EA,,,25196866,,,,yes,
25228286,COYOTE RIB LITE GRIP TRAY (LONG),Splice,EA,,,25228286,,,,yes,
25370668,WEAVER CONNECTOR,Grounding,EA,,,25370668,,,,yes,
25429574,SPLICE TRAY,Splice,EA,,,25429574,,,,yes,
25633573,POLE MOUNT BRACKET FOR 9 1/2 DOME,Aerial Hardware,EA,,,25633573,,,,yes,
25643572,SPLITTER 1X32,Splitter-MST,EA,,,25643572,,,,yes,
25796500,"CLAMP,D LASHING WIRE,BUG NUTS,100pc/BOX",Miscellaneous,EA,100,,25796500,,,,yes,
25803477,Cable Suspension Clamp Curved,Aerial Hardware,EA,,,25803477,,,,yes,
25856182,1.25 BANDING BOLT/CLAMP,Aerial Hardware,EA,,,25856182,,,,yes,
25871675,17X30X24 SHIELD VAULT (DO NOT ORDER),Vault-Handhole,EA,,,25871675,,,,yes,
26411077,"1/4"" EHS STRAND 5000FT REEL",Aerial Hardware,FT,5000,,26411077,,,,yes,
26458812,30X48X36 VAULT W/METAL LID (0081235),Vault-Handhole,EA,,,26458812,,,,yes,
26471585,PROTECTION SLEEVE ROLLABLE RIBBON 25PK,Fiber Cable,EA,25,,26471585,,,,yes,
26506941,PRYSMIAN-48ST SM ARMORED RIBBON,Fiber Cable,FT,,,26506941,,,,yes,
26507674,144F ACCUROLL DRY CORE ALLWAVE RIBBON,Fiber Cable,FT,,,26507674,,,,yes,
26507676,288F ACCUROLL DRY CORE ALLWAVE RIBBON,Fiber Cable,FT,,,26507676,,,,yes,
26507678,72F ACCUROLL DRY CORE ALLWAVE RIBBON,Fiber Cable,FT,,,26507678,,,,yes,
26530956,48F ACCUROLL DRY CORE ALLWAVE RIBBON,Fiber Cable,FT,,,26530956,,,,yes,
26583056,12X14X41 PEDESTAL VENT,Pedestal-Cabinet,EA,,,26583056,,,,yes,
26595,unknown,Miscellaneous,EA,,,26595,,,,yes,
26630575,36X60X36 SPLIT LID VAULT,Vault-Handhole,EA,,,26630575,,,,yes,
26647257,FIBERFLEX3000/1700 POUR-IN-PLACE TEMPLAT,Splice,EA,,,26647257,,,,yes,
26653057,8 PORT HST 350 FT TONEABLE STUB,Splitter-MST,EA,,,26653057,,,,yes,
26653058,8 PORT HST 500 FT TONEABLE STUB,Splitter-MST,EA,,,26653058,,,,yes,
26653059,8 PORT HST 750 FT TONEABLE STUB,Splitter-MST,EA,,,26653059,,,,yes,
26702594,4 PORT HST 150 FT TONEABLE STUB,Splitter-MST,EA,,,26702594,,,,yes,
26702595,4 PORT HST 250 FT TONEABLE STUB,Splitter-MST,EA,,,26702595,,,,yes,
26702596,4 PORT HST 350 FT TONEABLE STUB,Splitter-MST,EA,,,26702596,,,,yes,
26702597,4 PORT HST 500 FT TONEABLE STUB,Splitter-MST,EA,,,26702597,,,,yes,
26702598,4 PORT HST 750 FT TONEABLE STUB,Splitter-MST,EA,,,26702598,,,,yes,
