,Code,UNIT DESCRIPTION,UNIT,RATE,QTY
1,AFO,Placing self-support fiber (ADSS) Aerial on Distribution Wood and Steel Poles. *,Per Foot,1.85,
2,AFO.B,Placing self-support fiber (ADSS) Aerial on Distribution Wood and Steel Poles attaching hardware by banding to pole. *,Per Foot,1.95,
3,AFO.T,Placing self-support fiber (ADSS) Aerial on Transmission Wood & Steel Structures. *,Per Foot,1.85,
4,AFO.TC,Placing self-support fiber (ADSS) Aerial on Transmission Concrete Structures. Poles will require banding. *,Per Foot,1.95,
5,AFO.RTD,"Placing MST/RTD Aerial Fiber* Pricing is actual tail footage installed from recorded tic marks and includes mounting for anything over 1500ft
MST/RTD.",Per Foot,1.25,
6,AFO.RESAG,Resag Fiber Per Span (Prior Approval Required),Each,65,
7,AFO.S,install Slack Coils or Snowshoes,Each,75,
8,AFO.CO ML,Install Slack Coil/Snowshoe Fiber and Mount Splice Enclosures.,Each,100,
9,AFO.TRAN1,Pole Transfers (Moving Existing Fiber from Pole to Pole),Each,125,
10,,,,,
11,AFO.TRAN2,Pole Transfers (Moving Existing Fiber up or down the same pole),Each,55,
12,FLAG,Flagging Traffic(Outside normal conditions with prior approval),Per Hour,175,
,AFO.SL,Placing Strand & Lash Fiber on Distribution Wood and Steel Poles.*,Per Foot,2.25,
,AFO.GAA,Place Screw Anchor With Down Guy,Each,85,
,AFO.GG,Install Down Guy With Guy Guard,Each,45,
,AFO.EYE,Install Auxilliary Eye,Each,35,
,AFO.BOND,Aerial Bond (When Needed),Each,7,
,AFO.OLASH,Overlash Fiber,Per Foot,1.2,
,AFO.RELASH,Delash/Relash,Per Foot,1.3,
,AFO SL Strand,Strand Only,Per Foot,1.1000000000000001,
13,BHF-10,Labor only to install 10x15x12 drop vault,Each,55,
14,BHF-17T,Labor only to install small handholle. Size 17x30x24 Tier 22 Traffic rated.,Each,250,
15,BHF-30T,Labor only to install 24x3 x3  Tier 22 Traffic rated.,Each,250,
16,BHF-48T,Labor only to install 30x48x3  Tier 22 Traffic rated.,Each,400,
,BHF-60T,"Labor only to install 30""<VAULT �60"" Tier 22
Traffic rated.",Each,475,
17,BDO-SC144,"Labor to install 30""<VAULT �48"" Tier 22 Traffic
rated and mount 144 cabinet",Each,550,
18,BDO-SC288,"Labor to install 30""<VAULT �48"" Tier 22 Traffic
rated and mount 288 cabinet",Each,550,
19,BDO-SC432,"Labor to install 30""<VAULT �60"" Tier 22 Traffic
rated and mount 432 cabinet",Each,650,
20,BDO-SC576,"Labor to install 30""<VAULT �60"" Tier 22 Traffic
rated and mount 576 cabinet",Each,750,
21,BM60(MICRO),Labor to place a vacant M CRO conduit inside an existing larger conduit.,Per Foot,1.25,
22,BM60(1)(1.25)  ,"Labor to place a vacant 1.25"" conduit inside an existing larger conduit.",Per Foot,1.25,
23,BM60(1)(0.75) T,"Labor to place one (1) vacant 3/4"" conduit via the open trench method. Min depth to be 3 "" to 42"".",Per Foot,6,
24,BM60(1)(1.25) T,"Labor to place one (1) vacant 1.25"" conduit via the open trench method. Min depth to be 3 "" to 42"".",Per Foot,6,
25,BM60(1)(2) T,"Labor to place one (1) vacant 2"" conduits via the open trench method. Min depth to be 3 "" to 42"".",Per Foot,7.05,
26,BM60(1)(4) T,"Labor to place one (1) vacant 4"" conduits via the open trench method. Min depth to be 3 "" to 42"".",Per Foot,7.5,
27,BM60(2)(1.25) T,"Labor to place two (2) vacant 1.25"" conduits via the open trench method. Min depth to be 3 "" to 42"".",Per Foot,7.7,
,BM60(2)(2) T,"Labor to place two (2) vacant 2"" conduits via the open trench method. Min depth to be 3 "" to 42"".",Per Foot,8.0500000000000007,
,BM60(2)(4) T,"Labor to place two (2) vacant 4"" conduits via the open trench method. Min depth to be 3 "" to 42"".",Per Foot,11.8,
28,BM60(3)(1.25) T,"Labor to place three (3) vacant 1.25"" conduits via the open trench method. Min depth to be 3 "" to 42"".",Per Foot,9.4,
29,BM60(3)(2) T,"Labor to place three (3) vacant 2"" conduits via the open trench method. Min depth to be 3 "" to 42"".",Per Foot,9.15,
30,BM60(3)(4) T,"Labor to place three (3) vacant 4"" conduits via the open trench method. Min depth to be 3 "" to 42"".",Per Foot,15.95,
,BM60(1)(1.25) TD,"Labor to place one (1) vacant 1.25"" conduit dual (joint trench) with another conduit or cable via the open trench method.",Per Foot,3,
31,BM60(1)(2) TD,"Labor to place one (1) vacant 2"" conduit dual(joint trench) with another conduit or cable via the open trench method.",Per Foot,3,
32,BM60(1)(4) TD,"Labor to place one (1) vacant 4"" conduit dual(joint trench) with another conduit or cable via the open trench method.",Per Foot,4.8499999999999996,
33,BM60(2)(1.25) TD,"Labor to place two (2) vacant 1.25"" conduit dual(joint trench) with another conduit or cable via the open trench method.",Per Foot,3.25,
34,BM60(2)(2) TD,"Labor to place two (2) vacant 2"" conduit dual(joint trench) with another conduit or cable via the open trench method.",Per Foot,4,
35,BM60(2)(4) TD,"Labor to place two (2) vacant 4"" conduit dual(joint trench) with another conduit or cable via the open trench method.",Per Foot,9.4499999999999993,
36,BM60(3)(1.25) TD,"Labor to place three (3) vacant 1.25"" conduit dual(joint trench) with another conduit or cable via the open trench method.",Per Foot,4,
37,BM60(3)(2) TD,"Labor to place three (3) vacant 2"" conduit dual(joint
trench) with another conduit or cable via the open trench method.",Per Foot,5.45,
38,BM60(3)(4) TD,"Labor to place three (3) vacant 1.25"" conduit dual(joint trench) with another conduit or cable via the open trench method.",Per Foot,4,
39,BM60(1)(0.75) P,"""Labor to place one (1) vacant 3/4"""" (non-drop) conduit via",Per Foot,3.25,
40,BM60(1)(1.25) P,"the plow method  Min depth to be 36"""" to 42"""" """,Per Foot,3.25,
41,BM60(1)(2) P,"""Labor to place one (1) vacant 1 2 """" conduit via the plow",Per Foot,3.35,
42,BM60(1)(4) P,"method  Min depth to be 36"""" to 42"""" """,Per Foot,6.5,
43,BM60(2)(1.25) P,"""Labor to place one (1) vacant 2"""" conduits via the plow",Per Foot,3.4,
44,BM60(2)(2) P,"method  Min depth to be 36"""" to 42"""" """,Per Foot,4.75,
45,BM60(3)(1.25) P,"""Labor to place one (1) vacant 4"""" conduits via the plow",Per Foot,3.45,
46,Heavy  metro adder,Metro adder bore         in duct       t   o be used in heavy utility areas or areas with heavy concrete and asphalt exposure  Must be approved by LREMC Supervisor,Per Foot,3,
47,Heavy  metro adder,"Metro adder bore         in duct       t   o be used in heavy utility areas or areas with heavy concrete and asphalt exposure  Must be approved
by LREMC Supervisor",Per Foot,3,
48,Heavy  metro adder,"Metro adder bore (3)1 2  in duct  3 2    o be used in heavy utility areas or areas with heavy concrete and asphalt exposure  Must be approved by LREMC
Supervisor",Per Foot,3.25,
49,,,,,
50,BFO.12.I,Install a buried fiber optic cable containing 12 fibers in conduit.,Per Foot,1.5,
51,BFO.48.I,Install a buried fiber optic cable containing 48 fibers in conduit.,Per Foot,1.5,
52,BFO.72.I,Install a buried fiber optic cable containing 72 fibers in conduit.,Per Foot,1.5,
53,BFO.144.I,Install a buried fiber optic cable containing 144 fibers in conduit.,Per Foot,1.65,
54,BFO.288.I,Install a buried fiber optic cable containing 288 fibers in conduit.,Per Foot,1.65,
55,BFO.HST.150,HST 150 FT-Pricing  is lump sum and includes mountin  the head in pedestal,EACH,300,
56,BFO.HST.250,HST 250 FT-Pricing  is lump sum and includes mountin  the head in pedestal,EACH,375,
57,BFO.HST.350,HST 350 FT-Pricing  is lump sum and includes mountin  the head in pedestal,EACH,490,
58,BFO.HST.500,HST 500 FT-Pricing  is lump sum and includes mountin  the head in pedestal,EACH,625,
59,BFO.HST.750,HST 750 FT-Pricing  is lump sum and includes mountin  the head in pedestal,EACH,937.5,
60,BFO.HST.1000,HST 1000 FT-Pricing  is lump sum and includes mountin  the head in pedestal,EACH,1250,
61,BFO.HST.1250,HST 1250 FT-Pricing  is lump sum and includes mountin  the head in pedestal,EACH,1562.5,
62,BFO.HST.1500,HST 1500 FT-Pricing  is lump sum and includes mountin  the head in pedestal,EACH,1875,
63,BFO.12.IE,Install a buried fiber optic cable containing 12 fibers installed in an existing duct placed by others.,Per Foot,1.5,
64,BFO.48.IE,Install a buried fiber optic cable containing 48 fibers installed in an existing duct placed by others.,Per Foot,1.5,
65,BFO.72.IE,Install a buried fiber optic cable containing 72 fibers installed in an existing duct placed by others.,Per Foot,1.5,
66,BFO.144.IE,Install a buried fiber optic cable containing 144 fibers installed in an existing duct placed by others.,Per Foot,1.5,
67,BFO.288.IE,Install a buried fiber optic cable containing 288 fibers installed in an existing duct placed by others.,Per Foot,1.5,
68,BFO.RTD.IE,Install buried MST/RTD Fiber in an exiting duct placed by others. Pricing is actual tail footage installed from recorded tic marks and includes mounting MST/RTD.,Per Foot,2,
69,BM53,Labor to install an above  round Fiber markin post ,Each,22,
70,BM55A,"Labor to install a 3M locate disk or locate ball in
vaults, on buried splices, or at the ends of pipe ",Each,4,
71,BM60-(7Way)P Micro Duct,"Labor to install a 7 Way Micro Duct conduit bore or road crossing via the missile bore method. Unit consists of digging entry and exit pits, tamping and backfilling.",Per Foot,10,
72,BM60-(1.25)MB,"Labor to install a 1.25"" conduit bore or road crossing via the missile bore method. Unit consists of digging entry and exit pits, tamping and backfilling.",Per Foot,10,
73,BM60-(2)MB,"Labor to install a 2"" conduit bore or road crossing via the missile bore method. Unit consists of digging entry and exit pits, tamping and backfilling.",Per Foot,10,
74,BM60-(4)MB,"Labor to install a 4"" conduit bore or road crossing via the missile bore method. Unit consists of digging entry and exit pits, tamping and backfilling.",Per Foot,14.5,
75,BM60-(7Way)DP Micro Duct,"Labor to install a 7 Way Micro Duct conduit bore or road crossing via the hydraulic bore rig method. Unit consists of digging entry and exit pits, tamping and backfilling.",Per Foot,10,
76,BM60-(1.25)DP,"Labor to install a 1.25"" conduit bore or road crossing via the hydraulic bore rig method. Unit consists of digging entry and exit pits, tamping and backfilling.",Per Foot,10,
,BM60-(2)DP,"Labor to install a 2"" conduit bore or road crossing via the hydraulic bore rig method. Unit consists of digging entry and exit pits, tamping and backfilling.",Per Foot,10,
77,BM60-(4)DP,"Labor to install a 4"" conduit bore or road crossing via the hydraulic bore rig method. Unit consists of digging entry and exit pits, tamping and backfilling.",Per Foot,14.5,
78,BM60-(1.25)DPD Dual,"Labor to install a second or more 1.25"" conduit bores or road crossings via the hydraulic bore rig method pulling multiple pipes back at one time. Unit consists of digging entry and exit pits, tamping and backfilling.",Per Foot,2,
79,BM60-(2) DPD Dual,"Labor to install a second or more 2"" conduit bores or road crossings via the hydraulic bore rig method pulling multiple pipes back at one time. Unit consists of digging entry and exit pits, tamping and backfilling.",Per Foot,9,
,BM60-(4) DPD Dual,"Labor to install a second or more 4"" conduit bores or road crossings via the hydraulic bore rig method pulling multiple pipes back at one time. Unit consists of digging entry and exit pits, tamping and backfilling.",Per Foot,11.5,
,"BM60(1.25)DP SDR 7 Rail
Road","Labor to install a SDR 11 1.25"" conduit railroad bore via the hydraulic bore rig method. Unit consists of digging entry and exit pits, tamping and backfilling. This unit has to be 15' below all rails.",Per Foot,12,
,"BM60(1.25)DP SDR 7 Rail
Road","Labor to install a SDR 11 2"" conduit railroad bore via the hydraulic bore rig method. Unit consists of digging entry and exit pits, tamping and backfilling. This unit has to be 15' below all rails.",Per Foot,16,
,BM72,"Labor and material to remove and restore asphalt roadways. All work will be preformed to meet all federal, state, local standards which may include the use of any sub-base material such as concrete or crush and run.",Ft2,42,
,BM7 ,"Labor and material to remove and restore any concrete. All work will be preformed to meet all federal, state, local standards which may include the use of any sub-base material such crush and run.",Ft2,45,
,BMHD,"Labor to hand dig cables or conduit to proper depth greater than 18"" and up to 42"" where trench cannot be opened by backhoes, trenchers, ect due to existing facilities or room limitations.",Per Foot,24,
,BM60-R,Rock adder to be added to BM60 for any si e conduit.,Per Foot,15,
,BM71,"Rock adder to be added to the plow or open trench method where a rock is present. This adder will cover jack hammering or sawing rock to get the conduit a min of 18""
into the rock surface or under the rock surface.",Per Foot,38,
80,BM81,Labor to install 10' Riser Guard.,Each,45,
,BM90,Install Pull Rope/Install Tracer Wire in Conduit (Only billed when no fiber pulled),Per Foot,1,
81,HO-1 (1-24),"This unit is labor for fusion splicing up to 24
fibers  n one  ocat on.",Per Splice,32,
82,HO-1 (25-48),"This unit is labor for fusion splicing up to 25 to
48 fibers  n one  ocat on.",Per Splice,28,
83,HO-1 (49-72),This unit is labor for fusion splicing up to 49 to 72 fibers in one location.,Per Splice,22,
84,HO-1 (73 -144),This unit is labor for fusion splicing up to 7  to 144 fibers in one location.,Per Splice,16,
85,HO-1 (145 or above),This unit is labor for fusion splicing 145 and above fibers in one location.,Per Splice,15,
86,HO-1T,Labor for fiber OTDR Testing. Testing can be using jumpers in panels or bare fiber testing in splice cases,Each,8,
87,HO-1TB,Labor for fiber OTDR Bare Fiber Testing. Price includes entering place case or other storage and testing bare fiber.,Each,9,
88,HO-1TL,Labor for fiber tests with light meter.,Each,7,
89,HAFOx,Labor to install Aerial Fiber Splice Closure and mount on to pole.,Each,450,
90,HBFOx,Labor to install Buried Fiber Splice Closure and place or mount in Underground Enclosure.,Each,450,
,WHAFOx,"Labor and material to enter an existing splice case for the purpose of splicing more fibers that are not spliced, or splicing in a new cable to be added to the existing case.",Each,350,
,BMHR-SPLICE,"Emergency Fiber Splicer with Trailer, Tools and Test Equipment. After hours, weekend or holiday.",Per Hour,165,
,(XZ}B007,"Labor unit to dig up, remove, and return to stock and undamaged above ground stake
mounted fiber pedesta .",Each,250,
,(XZ}BHF-48T,"Labor unit to dig up, remove, and return to stock and undamaged 48"" traffic rated underground
vault.",Each,250,
